Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.4000,28,82,59.26
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.4000,28,171,94.97
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.4000,28,36,68.13
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.4000,28,47,98.81
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.4000,28,149,102.67
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.4000,28,50,73.97
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.4000,28,52,105.16
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.4000,28,194,139.57
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.4000,28,63,88.37
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.4000,28,78,132.92
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.4000,28,350,157.98
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.4000,28,144,123.05
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.4000,28,116,179.12
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.5000,12,77,42.28
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.5000,12,27,36.04
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.5000,12,50,46.89
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.5000,12,100,85.13
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.5000,12,39,47.17
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.5000,12,26,57.73
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.5000,12,113,84.84
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.5000,12,41,50.91
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.5000,12,30,64.10
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.5000,12,128,94.05
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.5000,12,32,60.31
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.5000,12,24,76.81
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.5000,12,170,154.40
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.5000,12,69,82.95
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.5000,12,64,109.21
