Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0080,64,72,52.80
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0080,64,114,68.50
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,271,140.83
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,126,57.17
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,196,66.89
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,297,117.02
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,168,48.01
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,218,178.89
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,252,132.26
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,97,55.32
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,153,119.49
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0060,97,220,131.58
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0060,97,88,55.79
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0060,97,143,74.10
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0060,99,233,136.62
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0060,99,98,57.77
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0060,99,143,93.44
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0060,99,291,150.12
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0060,99,115,61.13
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0060,99,161,124.70
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0050,138,318,151.77
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0050,138,149,54.02
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0050,138,279,229.15
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0050,138,281,139.30
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0050,138,128,61.36
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0050,138,267,217.59
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0050,136,286,158.67
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0050,136,130,62.84
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0050,136,315,320.19
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0050,137,304,162.69
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0050,137,139,64.83
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0050,137,325,231.54
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0050,138,380,164.86
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0050,138,212,69.20
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0050,138,323,261.90
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0040,171,389,154.03
