Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,60602,0,0.2000,0,191,77.91
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,60602,0,0.2000,0,69,101.65
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,60602,0,0.2000,0,62,119.88
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,0,157,54.45
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3613,514.32
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7545,1255.97
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,6196,500,0.2000,0,168,70.16
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,6196,500,0.2000,670,811,377.83
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,6196,500,0.2000,670,1413,583.61
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,6696,500,0.2000,402,1283,72.45
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,6696,500,0.2000,402,735,198.06
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,6696,500,0.2000,402,1293,507.58
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7165,180.95
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3311,505.98
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,6714,1192.40
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,500,0.2000,6830,5315,182.31
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,500,0.2000,6830,2136,513.95
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,500,0.2000,6830,3975,942.78
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms.txt,8416,0,0.1000,2000,1580,81.28
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms.txt,8416,0,0.1000,2000,548,202.05
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms.txt,8416,0,0.1000,2000,1534,939.04
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,59602,0,0.0100,42,631,70.87
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,59602,0,0.0100,42,142,51.46
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,59602,0,0.0100,42,197,115.81
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,59602,0,0.0010,448,1638,199.30
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,59602,0,0.0010,892,494,114.74
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,59602,0,0.0010,892,1028,522.79
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,60602,1000,0.0200,13,353,119.95
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,60602,1000,0.0200,12,85,134.95
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,60602,1000,0.0200,12,110,147.95
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,0,117,57.18
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,6836,2365,516.91
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,6836,4683,1124.40
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6836,4660,75.07
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6836,2179,516.11
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6836,4538,1025.80
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2088,2344,80.55
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2088,1242,541.66
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2088,2830,686.07
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,6829,4943,183.97
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,6829,2304,516.57
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,3696,500,0.2000,6829,4475,905.53
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7836,180.88
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,2945,506.54
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,6242,792.79
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,8209,181.13
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3123,503.18
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7231,1084.01
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6829,5170,73.94
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6829,2459,518.31
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,3696,0,0.2000,6829,4200,949.32
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2080,2639,190.93
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2080,1146,517.93
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,4696,1000,0.2000,2080,2353,957.54
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,60602,0,0.0100,40,565,85.33
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,60602,0,0.0100,40,164,104.81
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,60602,0,0.0100,40,197,116.37
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1-ACCUMULATED.txt,61102,500,0.0100,39,649,208.42
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1-ACCUMULATED.txt,61102,500,0.0100,40,142,130.92
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1-ACCUMULATED.txt,61102,500,0.0100,40,173,142.92
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,60602,0,0.0010,866,1543,193.06
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,60602,0,0.0010,866,482,163.08
