Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,5438,481.10
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,1778,465.60
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,4070,822.47
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,7696,1000,0.2000,281,1253,181.84
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,7696,1000,0.2000,281,627,397.14
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,7696,1000,0.2000,281,978,497.37
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,7696,0,0.2000,281,1343,181.26
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,7696,0,0.2000,281,582,196.30
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,7696,0,0.2000,281,1021,528.96
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,1240,176.62
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,262,172.20
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,682,500.44
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,1166,156.61
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,261,208.61
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,730,239.20
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,12678,443.58
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3257,706.63
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,6520,778.40
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,60602,0,0.0100,40,705,64.80
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,60602,0,0.0100,40,147,68.94
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,60602,0,0.0100,40,180,47.28
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,60602,0,0.0010,866,1459,122.23
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,60602,0,0.0010,866,425,110.39
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,60602,0,0.0010,866,1065,309.59
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-BMS1.txt,61102,500,0.0200,12,184,59.08
Inc-CHARM (Vertical Incremental),datasets/dataset-BMS1.txt,61102,500,0.0200,12,97,71.88
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-BMS1.txt,61102,500,0.0200,12,144,46.84
